figure_id,x_value,x_label,x_unit,runs_per_setting,valid_runs,reach_rate_90,t90_avg_h,t90_std_h,t90_uA_h,reach_rate_95,t95_avg_h,t95_std_h,t95_uA_h,reach_rate_99,t99_avg_h,t99_std_h,t99_uA_h,fail_reason_counts
17,5.0,Scan Radius (R_scan = R_turn),km,5,5,1.0,135.84000000002143,0.007071067811859044,0.003162277660165503,1.0,158.03400000000124,0.05594640292274657,0.02501999200637085,1.0,253.11599999991478,1.539035412196773,0.6882775602902786,
17,10.0,Scan Radius (R_scan = R_turn),km,5,5,1.0,65.60199999999665,0.004472135955001867,0.002000000000001023,1.0,68.68399999999824,0.028809720581790606,0.012884098726731717,1.0,151.29200000000736,0.030331501776178615,0.013564659966238199,
17,15.0,Scan Radius (R_scan = R_turn),km,5,5,1.0,46.33999999999935,0.0,0.0,1.0,48.685999999998884,0.005477225575050572,0.002449489742782691,1.0,58.61199999999691,0.013038404810402703,0.00583095189484414,
17,20.0,Scan Radius (R_scan = R_turn),km,5,5,1.0,31.84200000000218,0.004472135955000279,0.0020000000000003127,1.0,87.35400000000779,0.013416407865005602,0.006000000000003069,1.0,205.3799999999582,0.025495097567940737,0.01140175425098101,
17,25.0,Scan Radius (R_scan = R_turn),km,5,5,1.0,29.222000000001763,0.004472135955000279,0.0020000000000003127,1.0,31.216000000002076,0.005477225575052517,0.002449489742783561,1.0,34.182000000001764,0.021679483388674484,0.009695359714830728,
17,30.0,Scan Radius (R_scan = R_turn),km,5,5,1.0,21.82000000000061,0.0,0.0,1.0,22.600000000000733,0.0,0.0,1.0,47.663999999999085,0.005477225575050572,0.002449489742782691,
17,35.0,Scan Radius (R_scan = R_turn),km,5,5,1.0,21.530000000000566,0.0,0.0,1.0,22.51000000000072,0.0,0.0,1.0,23.296000000000845,0.005477225575052517,0.002449489742783561,
17,40.0,Scan Radius (R_scan = R_turn),km,5,5,1.0,180.67599999998066,0.09607288899571621,0.04296510211784259,1.0,356.9299999998204,1.9920215862266106,0.890859135889932,1.0,766.1859999994483,2.2763084149540402,1.0179960707184066,
17,45.0,Scan Radius (R_scan = R_turn),km,5,5,1.0,26.492000000001337,0.02167948338868219,0.009695359714834173,1.0,89.24400000000875,0.011401754250997213,0.005099019513595393,1.0,233.98799999993216,0.0732802838421784,0.032771939216318074,
17,50.0,Scan Radius (R_scan = R_turn),km,5,5,1.0,12.84999999999977,0.0,0.0,1.0,13.31999999999976,0.0,0.0,1.0,26.198000000001297,0.008366600265342064,0.0037416573867745267,
