strategy,partition_id,partition_mode,x_split_km,valid_runs,reach_rate_90,t90_avg_h,t90_std_h,t90_uA_h,reach_rate_95,t95_avg_h,t95_std_h,t95_uA_h,reach_rate_99,t99_avg_h,t99_std_h,t99_uA_h
strip_markov,gradient_200,gradient,200.0,5,1.000000,17.060000,0.000000,0.000000,1.000000,18.220000,0.000000,0.000000,1.000000,28.338000,0.021679,0.009695
strip_markov,gradient_210,gradient,210.0,5,1.000000,16.328000,0.004472,0.002000,1.000000,25.920000,0.000000,0.000000,1.000000,28.170000,0.000000,0.000000
strip_markov,gradient_220,gradient,220.0,5,1.000000,16.350000,0.000000,0.000000,1.000000,18.310000,0.000000,0.000000,1.000000,27.594000,0.005477,0.002449
strip_markov,gradient_230,gradient,230.0,5,1.000000,16.580000,0.000000,0.000000,1.000000,17.900000,0.000000,0.000000,1.000000,23.326000,0.011402,0.005099
strip_markov,gradient_240,gradient,240.0,5,1.000000,17.000000,0.000000,0.000000,1.000000,18.210000,0.000000,0.000000,1.000000,25.680000,0.018708,0.008367
strip_markov_dynamic,equal_width_153,equal_width,153.0,5,1.000000,16.002000,0.996855,0.445807,1.000000,18.262000,2.232145,0.998245,1.000000,22.992000,1.445327,0.646370
strip_markov_dynamic,figure3_n2,figure3_n2,,5,1.000000,13.126000,1.363022,0.609562,1.000000,15.316000,1.926845,0.861711,1.000000,19.488000,1.947786,0.871076
strip_markov_dynamic,gradient_060,gradient,60.0,5,1.000000,23.326000,1.197259,0.535431,1.000000,26.284000,1.926390,0.861508,1.000000,31.886000,1.714156,0.766594
strip_markov_dynamic,gradient_070,gradient,70.0,5,1.000000,21.900000,0.486724,0.217669,1.000000,24.210000,1.254970,0.561240,1.000000,32.002000,1.583641,0.708226
strip_markov_dynamic,gradient_080,gradient,80.0,5,1.000000,21.394000,1.034132,0.462478,1.000000,25.002000,1.257128,0.562205,1.000000,30.480000,0.866401,0.387466
strip_markov_dynamic,gradient_090,gradient,90.0,5,1.000000,20.240000,0.817435,0.365568,1.000000,23.856000,1.442872,0.645272,1.000000,28.326000,1.493529,0.667927
strip_markov_dynamic,gradient_100,gradient,100.0,5,1.000000,19.038000,0.410207,0.183450,1.000000,22.460000,0.840030,0.375673,1.000000,27.090000,2.148104,0.960661
