run_id,figure_id,x_value,x_label,x_unit,repeat_id,uav_speed_km_h,scan_radius_km,turn_radius_km,target_speed_km_h,t90_h,t95_h,t99_h,status,fail_reason,steps,wall_time_s,final_remaining
20260406_025719_17_000_01,17,5.0,Scan Radius (R_scan = R_turn),km,1,150.0,5.0,5.0,30.0,135.84000000002143,157.9900000000013,254.7199999999133,success_99,,25472,62.88184990899936,100000
20260406_025719_17_000_02,17,5.0,Scan Radius (R_scan = R_turn),km,2,150.0,5.0,5.0,30.0,135.83000000002144,157.96000000000132,252.35999999991546,success_99,,25236,63.22587147500053,100000
20260406_025719_17_000_03,17,5.0,Scan Radius (R_scan = R_turn),km,3,150.0,5.0,5.0,30.0,135.84000000002143,158.07000000000122,252.849999999915,success_99,,25285,64.53492457500033,99997
20260406_025719_17_000_04,17,5.0,Scan Radius (R_scan = R_turn),km,4,150.0,5.0,5.0,30.0,135.85000000002142,158.06000000000122,251.07999999991662,success_99,,25108,63.83334153100077,99998
20260406_025719_17_000_05,17,5.0,Scan Radius (R_scan = R_turn),km,5,150.0,5.0,5.0,30.0,135.84000000002143,158.0900000000012,254.56999999991345,success_99,,25457,66.02831624300052,99997
20260406_025719_17_001_01,17,10.0,Scan Radius (R_scan = R_turn),km,1,150.0,10.0,10.0,30.0,65.59999999999665,68.65999999999822,151.29000000000738,success_99,,15129,33.93456906099891,99925
20260406_025719_17_001_02,17,10.0,Scan Radius (R_scan = R_turn),km,2,150.0,10.0,10.0,30.0,65.59999999999665,68.68999999999824,151.31000000000736,success_99,,15131,30.475356476999877,99945
20260406_025719_17_001_03,17,10.0,Scan Radius (R_scan = R_turn),km,3,150.0,10.0,10.0,30.0,65.59999999999665,68.69999999999824,151.31000000000736,success_99,,15131,30.60827706100099,99968
20260406_025719_17_001_04,17,10.0,Scan Radius (R_scan = R_turn),km,4,150.0,10.0,10.0,30.0,65.60999999999666,68.71999999999825,151.31000000000736,success_99,,15131,33.92394075199991,99921
20260406_025719_17_001_05,17,10.0,Scan Radius (R_scan = R_turn),km,5,150.0,10.0,10.0,30.0,65.59999999999665,68.64999999999822,151.24000000000743,success_99,,15124,37.554133264000484,99974
20260406_025719_17_002_01,17,15.0,Scan Radius (R_scan = R_turn),km,1,150.0,15.0,15.0,30.0,46.33999999999935,48.679999999998884,58.59999999999691,success_99,,5860,19.513102880000588,99909
20260406_025719_17_002_02,17,15.0,Scan Radius (R_scan = R_turn),km,2,150.0,15.0,15.0,30.0,46.33999999999935,48.68999999999888,58.60999999999691,success_99,,5861,18.05980456299949,99937
20260406_025719_17_002_03,17,15.0,Scan Radius (R_scan = R_turn),km,3,150.0,15.0,15.0,30.0,46.33999999999935,48.68999999999888,58.61999999999691,success_99,,5862,19.610215139000502,99945
20260406_025719_17_002_04,17,15.0,Scan Radius (R_scan = R_turn),km,4,150.0,15.0,15.0,30.0,46.33999999999935,48.68999999999888,58.629999999996905,success_99,,5863,18.41367249099858,99903
