run_id,figure_id,x_value,x_label,x_unit,repeat_id,uav_speed_km_h,scan_radius_km,turn_radius_km,target_speed_km_h,t90_h,t95_h,t99_h,status,fail_reason,steps,wall_time_s,final_remaining
20260406_025719_17_002_05,17,15.0,Scan Radius (R_scan = R_turn),km,5,150.0,15.0,15.0,30.0,46.33999999999935,48.679999999998884,58.59999999999691,success_99,,5860,18.79805271800069,99880
20260406_025719_17_003_01,17,20.0,Scan Radius (R_scan = R_turn),km,1,150.0,20.0,20.0,30.0,31.840000000002178,87.36000000000779,205.40999999995816,success_99,,20541,23.642961657998967,99928
20260406_025719_17_003_02,17,20.0,Scan Radius (R_scan = R_turn),km,2,150.0,20.0,20.0,30.0,31.840000000002178,87.34000000000778,205.38999999995818,success_99,,20539,20.07405325400032,99982
20260406_025719_17_003_03,17,20.0,Scan Radius (R_scan = R_turn),km,3,150.0,20.0,20.0,30.0,31.840000000002178,87.36000000000779,205.33999999995822,success_99,,20534,20.484402342000976,99952
20260406_025719_17_003_04,17,20.0,Scan Radius (R_scan = R_turn),km,4,150.0,20.0,20.0,30.0,31.840000000002178,87.34000000000778,205.3799999999582,success_99,,20538,24.036484615999143,99963
20260406_025719_17_003_05,17,20.0,Scan Radius (R_scan = R_turn),km,5,150.0,20.0,20.0,30.0,31.85000000000218,87.37000000000779,205.3799999999582,success_99,,20538,23.746404834000714,99928
20260406_025719_17_004_01,17,25.0,Scan Radius (R_scan = R_turn),km,1,150.0,25.0,25.0,30.0,29.220000000001768,31.21000000000208,34.16000000000177,success_99,,3416,11.375581198999498,99926
20260406_025719_17_004_02,17,25.0,Scan Radius (R_scan = R_turn),km,2,150.0,25.0,25.0,30.0,29.220000000001768,31.21000000000208,34.17000000000177,success_99,,3417,11.812467569001456,99884
20260406_025719_17_004_03,17,25.0,Scan Radius (R_scan = R_turn),km,3,150.0,25.0,25.0,30.0,29.23000000000177,31.22000000000208,34.21000000000176,success_99,,3421,10.57741391899981,99838
20260406_025719_17_004_04,17,25.0,Scan Radius (R_scan = R_turn),km,4,150.0,25.0,25.0,30.0,29.220000000001768,31.22000000000208,34.17000000000177,success_99,,3417,11.132863159999033,99882
20260406_025719_17_004_05,17,25.0,Scan Radius (R_scan = R_turn),km,5,150.0,25.0,25.0,30.0,29.220000000001768,31.22000000000208,34.200000000001765,success_99,,3420,10.861827315000482,99874
20260406_025719_17_005_01,17,30.0,Scan Radius (R_scan = R_turn),km,1,150.0,30.0,30.0,30.0,21.82000000000061,22.600000000000733,47.65999999999909,success_99,,4766,8.928609341999618,99993
20260406_025719_17_005_02,17,30.0,Scan Radius (R_scan = R_turn),km,2,150.0,30.0,30.0,30.0,21.82000000000061,22.600000000000733,47.65999999999909,success_99,,4766,10.121424121000018,99932
20260406_025719_17_005_03,17,30.0,Scan Radius (R_scan = R_turn),km,3,150.0,30.0,30.0,30.0,21.82000000000061,22.600000000000733,47.669999999999085,success_99,,4767,8.776641740998457,99824
20260406_025719_17_005_04,17,30.0,Scan Radius (R_scan = R_turn),km,4,150.0,30.0,30.0,30.0,21.82000000000061,22.600000000000733,47.65999999999909,success_99,,4766,9.278109238999605,99955
20260406_025719_17_005_05,17,30.0,Scan Radius (R_scan = R_turn),km,5,150.0,30.0,30.0,30.0,21.82000000000061,22.600000000000733,47.669999999999085,success_99,,4767,9.980123706000086,99899
20260406_025719_17_006_01,17,35.0,Scan Radius (R_scan = R_turn),km,1,150.0,35.0,35.0,30.0,21.530000000000566,22.51000000000072,23.300000000000843,success_99,,2330,7.817876697999964,95450
20260406_025719_17_006_02,17,35.0,Scan Radius (R_scan = R_turn),km,2,150.0,35.0,35.0,30.0,21.530000000000566,22.51000000000072,23.300000000000843,success_99,,2330,7.248742514000696,95414
20260406_025719_17_006_03,17,35.0,Scan Radius (R_scan = R_turn),km,3,150.0,35.0,35.0,30.0,21.530000000000566,22.51000000000072,23.29000000000084,success_99,,2329,8.125967290001427,99730
20260406_025719_17_006_04,17,35.0,Scan Radius (R_scan = R_turn),km,4,150.0,35.0,35.0,30.0,21.530000000000566,22.51000000000072,23.29000000000084,success_99,,2329,7.465194190999682,99827
20260406_025719_17_006_05,17,35.0,Scan Radius (R_scan = R_turn),km,5,150.0,35.0,35.0,30.0,21.530000000000566,22.51000000000072,23.300000000000843,success_99,,2330,6.852853537999181,95616
20260406_025719_17_007_01,17,40.0,Scan Radius (R_scan = R_turn),km,1,150.0,40.0,40.0,30.0,180.81999999998052,360.48999999981714,767.9999999994466,success_99,,76800,61.84183679099988,99992
20260406_025719_17_007_02,17,40.0,Scan Radius (R_scan = R_turn),km,2,150.0,40.0,40.0,30.0,180.67999999998065,356.1199999998211,762.2099999994518,success_99,,76221,61.87292529300066,100000
20260406_025719_17_007_03,17,40.0,Scan Radius (R_scan = R_turn),km,3,150.0,40.0,40.0,30.0,180.66999999998066,356.0099999998212,766.6999999994478,success_99,,76670,54.87913320500047,99996
20260406_025719_17_007_04,17,40.0,Scan Radius (R_scan = R_turn),km,4,150.0,40.0,40.0,30.0,180.54999999998077,355.9099999998213,766.9599999994475,success_99,,76696,61.02238799600127,99997
20260406_025719_17_007_05,17,40.0,Scan Radius (R_scan = R_turn),km,5,150.0,40.0,40.0,30.0,180.65999999998067,356.1199999998211,767.0599999994474,success_99,,76706,60.05713686099989,99998
20260406_025719_17_008_01,17,45.0,Scan Radius (R_scan = R_turn),km,1,150.0,45.0,45.0,30.0,26.510000000001344,89.26000000000876,233.9399999999322,success_99,,23394,17.74910362400078,99980
20260406_025719_17_008_02,17,45.0,Scan Radius (R_scan = R_turn),km,2,150.0,45.0,45.0,30.0,26.48000000000134,89.23000000000874,233.9599999999322,success_99,,23396,19.312302655000167,99992
20260406_025719_17_008_03,17,45.0,Scan Radius (R_scan = R_turn),km,3,150.0,45.0,45.0,30.0,26.47000000000134,89.24000000000875,234.10999999993206,success_99,,23411,19.41579693699896,99989
20260406_025719_17_008_04,17,45.0,Scan Radius (R_scan = R_turn),km,4,150.0,45.0,45.0,30.0,26.520000000001346,89.24000000000875,233.92999999993222,success_99,,23393,17.78878534499927,99989
20260406_025719_17_008_05,17,45.0,Scan Radius (R_scan = R_turn),km,5,150.0,45.0,45.0,30.0,26.48000000000134,89.25000000000875,233.99999999993216,success_99,,23400,17.160973637001007,99992
20260406_025719_17_009_01,17,50.0,Scan Radius (R_scan = R_turn),km,1,150.0,50.0,50.0,30.0,12.84999999999977,13.31999999999976,26.210000000001298,success_99,,2621,6.287763489001009,99853
20260406_025719_17_009_02,17,50.0,Scan Radius (R_scan = R_turn),km,2,150.0,50.0,50.0,30.0,12.84999999999977,13.31999999999976,26.190000000001294,success_99,,2619,5.436699919000603,99800
20260406_025719_17_009_03,17,50.0,Scan Radius (R_scan = R_turn),km,3,150.0,50.0,50.0,30.0,12.84999999999977,13.31999999999976,26.200000000001296,success_99,,2620,6.082017759001246,99920
20260406_025719_17_009_04,17,50.0,Scan Radius (R_scan = R_turn),km,4,150.0,50.0,50.0,30.0,12.84999999999977,13.31999999999976,26.200000000001296,success_99,,2620,5.623441853000259,99843
20260406_025719_17_009_05,17,50.0,Scan Radius (R_scan = R_turn),km,5,150.0,50.0,50.0,30.0,12.84999999999977,13.31999999999976,26.190000000001294,success_99,,2619,6.126209497999298,99915
