run_id,figure_id,x_value,x_label,x_unit,repeat_id,uav_speed_km_h,scan_radius_km,turn_radius_km,target_speed_km_h,t90_h,t95_h,t99_h,status,fail_reason,steps,wall_time_s,final_remaining
20260406_020813_16_005_05,16,150.0,UAV Speed,km/h,5,150.0,10.0,10.0,30.0,65.59999999999665,68.69999999999824,151.31000000000736,success_99,,15131,29.839458352998918,99929
20260406_020813_16_006_01,16,160.0,UAV Speed,km/h,1,160.0,10.0,10.0,30.0,61.55999999999632,64.16999999999592,142.17000000001568,success_99,,14217,34.030333534999954,99942
20260406_020813_16_006_02,16,160.0,UAV Speed,km/h,2,160.0,10.0,10.0,30.0,61.549999999996324,64.14999999999591,142.23000000001562,success_99,,14223,31.52100071699897,99942
20260406_020813_16_006_03,16,160.0,UAV Speed,km/h,3,160.0,10.0,10.0,30.0,61.549999999996324,64.14999999999591,142.21000000001564,success_99,,14221,29.597355740999774,99994
20260406_020813_16_006_04,16,160.0,UAV Speed,km/h,4,160.0,10.0,10.0,30.0,61.55999999999632,64.18999999999593,142.2400000000156,success_99,,14224,32.57227556899852,99984
20260406_020813_16_006_05,16,160.0,UAV Speed,km/h,5,160.0,10.0,10.0,30.0,61.539999999996326,64.07999999999588,142.19000000001566,success_99,,14219,31.08905229800075,99997
20260406_020813_16_007_01,16,170.0,UAV Speed,km/h,1,170.0,10.0,10.0,30.0,57.929999999997044,60.079999999996616,134.18000000002294,success_99,,13418,28.489268589000858,99961
20260406_020813_16_007_02,16,170.0,UAV Speed,km/h,2,170.0,10.0,10.0,30.0,57.929999999997044,60.089999999996614,134.19000000002293,success_99,,13419,31.546802332999505,99922
20260406_020813_16_007_03,16,170.0,UAV Speed,km/h,3,170.0,10.0,10.0,30.0,57.929999999997044,60.089999999996614,134.19000000002293,success_99,,13419,28.349156780001067,99949
20260406_020813_16_007_04,16,170.0,UAV Speed,km/h,4,170.0,10.0,10.0,30.0,57.919999999997046,60.079999999996616,134.15000000002297,success_99,,13415,25.85029717999896,99973
20260406_020813_16_007_05,16,170.0,UAV Speed,km/h,5,170.0,10.0,10.0,30.0,57.919999999997046,60.079999999996616,134.17000000002295,success_99,,13417,27.662554087999524,99962
20260406_020813_16_008_01,16,180.0,UAV Speed,km/h,1,180.0,10.0,10.0,30.0,54.72999999999768,56.769999999997275,126.95000000002804,success_99,,12695,29.132234112999868,99764
20260406_020813_16_008_02,16,180.0,UAV Speed,km/h,2,180.0,10.0,10.0,30.0,54.72999999999768,56.769999999997275,126.94000000002804,success_99,,12694,28.294022969999787,99899
20260406_020813_16_008_03,16,180.0,UAV Speed,km/h,3,180.0,10.0,10.0,30.0,54.72999999999768,56.75999999999728,126.93000000002803,success_99,,12693,31.40766773699943,99850
20260406_020813_16_008_04,16,180.0,UAV Speed,km/h,4,180.0,10.0,10.0,30.0,54.72999999999768,56.769999999997275,126.94000000002804,success_99,,12694,28.047588538998752,99775
20260406_020813_16_008_05,16,180.0,UAV Speed,km/h,5,180.0,10.0,10.0,30.0,54.72999999999768,56.769999999997275,126.93000000002803,success_99,,12693,25.14028733000123,99961
20260406_020813_16_009_01,16,190.0,UAV Speed,km/h,1,190.0,10.0,10.0,30.0,51.74999999999827,53.67999999999789,120.15000000002456,success_99,,12015,26.268051581999316,99803
20260406_020813_16_009_02,16,190.0,UAV Speed,km/h,2,190.0,10.0,10.0,30.0,51.74999999999827,53.66999999999789,120.12000000002455,success_99,,12012,23.71175478800069,99800
20260406_020813_16_009_03,16,190.0,UAV Speed,km/h,3,190.0,10.0,10.0,30.0,51.75999999999827,53.67999999999789,120.13000000002455,success_99,,12013,27.57396861899906,99825
20260406_020813_16_009_04,16,190.0,UAV Speed,km/h,4,190.0,10.0,10.0,30.0,51.74999999999827,53.66999999999789,120.12000000002455,success_99,,12012,25.969246807000673,99921
20260406_020813_16_009_05,16,190.0,UAV Speed,km/h,5,190.0,10.0,10.0,30.0,51.74999999999827,53.66999999999789,120.11000000002454,success_99,,12011,24.587484134000988,99962
20260406_020813_16_010_01,16,200.0,UAV Speed,km/h,1,200.0,10.0,10.0,30.0,48.98999999999882,50.80999999999846,113.79000000002131,success_99,,11379,25.348149928000566,99958
20260406_020813_16_010_02,16,200.0,UAV Speed,km/h,2,200.0,10.0,10.0,30.0,48.979999999998824,50.79999999999846,113.7800000000213,success_99,,11378,26.462847516000693,99960
20260406_020813_16_010_03,16,200.0,UAV Speed,km/h,3,200.0,10.0,10.0,30.0,48.98999999999882,50.80999999999846,113.82000000002132,success_99,,11382,26.955659735000154,99794
20260406_020813_16_010_04,16,200.0,UAV Speed,km/h,4,200.0,10.0,10.0,30.0,48.98999999999882,50.80999999999846,113.7800000000213,success_99,,11378,22.65675481299877,99885
