run_dir,strategy,partition_id,partition_mode,x_split_km,repeat_id,t90_h,t95_h,t99_h,run_end_h
20260405_160810_59976_5352,static_strip,gradient_070,gradient,70.0,1,19.930000,21.190000,22.190000,22.420000
20260405_160820_60079_2243,strip_markov,gradient_070,gradient,70.0,1,20.100000,21.360000,22.400000,42.570000
20260405_160831_60160_5277,static_strip,gradient_080,gradient,80.0,1,18.940000,20.770000,22.160000,22.480000
20260405_160841_60249_1198,strip_markov,gradient_080,gradient,80.0,1,19.170000,21.080000,22.980000,43.670000
