run_dir,strategy,partition_id,partition_mode,x_split_km,repeat_id,t90_h,t95_h,t99_h,run_end_h
20260405_165008_87039_4590,static_strip,gradient_200,gradient,200.0,5,16.610000,17.740000,18.650000,18.860000
20260405_165017_87126_7319,strip_markov,gradient_200,gradient,200.0,1,17.060000,18.220000,28.330000,37.880000
20260405_165027_87219_5233,strip_markov,gradient_200,gradient,200.0,2,17.060000,18.220000,28.370000,37.870000
20260405_165038_87292_3145,strip_markov,gradient_200,gradient,200.0,3,17.060000,18.220000,28.340000,37.870000
20260405_165048_87385_2331,strip_markov,gradient_200,gradient,200.0,4,17.060000,18.220000,28.340000,37.870000
20260405_165058_87485_5090,strip_markov,gradient_200,gradient,200.0,5,17.060000,18.220000,28.310000,37.810000
20260405_165109_87623_9356,strip_markov_dynamic,gradient_200,gradient,200.0,1,19.080000,21.720000,26.120000,35.480000
20260405_165120_87710_1315,strip_markov_dynamic,gradient_200,gradient,200.0,2,20.200000,21.680000,23.810000,34.090000
20260405_165130_87797_6203,strip_markov_dynamic,gradient_200,gradient,200.0,3,19.010000,21.330000,26.080000,33.040000
20260405_165141_87871_1119,strip_markov_dynamic,gradient_200,gradient,200.0,4,17.720000,19.970000,24.830000,31.810000
20260405_165151_87944_2450,strip_markov_dynamic,gradient_200,gradient,200.0,5,19.050000,21.320000,25.600000,32.160000
20260405_165202_88103_2916,static_strip,gradient_210,gradient,210.0,1,16.170000,25.710000,27.970000,28.480000
20260405_165212_88184_7365,static_strip,gradient_210,gradient,210.0,2,16.170000,25.710000,27.970000,28.480000
20260405_165222_88258_5850,static_strip,gradient_210,gradient,210.0,3,16.170000,25.710000,27.970000,28.480000
20260405_165232_89252_3138,static_strip,gradient_210,gradient,210.0,4,16.170000,25.710000,27.970000,28.480000
20260405_165241_89331_6476,static_strip,gradient_210,gradient,210.0,5,16.170000,25.710000,27.970000,28.480000
20260405_165251_89423_6348,strip_markov,gradient_210,gradient,210.0,1,16.330000,25.920000,28.170000,29.680000
20260405_165302_89575_1361,strip_markov,gradient_210,gradient,210.0,2,16.320000,25.920000,28.170000,29.670000
20260405_165312_89651_4905,strip_markov,gradient_210,gradient,210.0,3,16.330000,25.920000,28.170000,29.680000
20260405_165323_89750_5064,strip_markov,gradient_210,gradient,210.0,4,16.330000,25.920000,28.170000,29.670000
20260405_165333_89822_9005,strip_markov,gradient_210,gradient,210.0,5,16.330000,25.920000,28.170000,29.660000
20260405_165343_89902_9795,strip_markov_dynamic,gradient_210,gradient,210.0,1,19.220000,21.710000,27.350000,32.880000
20260405_165354_89999_2430,strip_markov_dynamic,gradient_210,gradient,210.0,2,20.280000,22.260000,25.720000,34.550000
20260405_165405_90147_2112,strip_markov_dynamic,gradient_210,gradient,210.0,3,18.590000,20.480000,25.420000,35.090000
20260405_165415_90239_8017,strip_markov_dynamic,gradient_210,gradient,210.0,4,22.010000,25.780000,29.780000,39.090000
20260405_165427_90327_8111,strip_markov_dynamic,gradient_210,gradient,210.0,5,21.900000,25.800000,29.810000,39.480000
20260405_165438_90403_8827,static_strip,gradient_220,gradient,220.0,1,16.200000,17.500000,27.030000,28.390000
20260405_165447_90495_8677,static_strip,gradient_220,gradient,220.0,2,16.200000,17.500000,27.030000,28.390000
20260405_165457_90592_3760,static_strip,gradient_220,gradient,220.0,3,16.200000,17.500000,27.030000,28.390000
20260405_165507_90734_2479,static_strip,gradient_220,gradient,220.0,4,16.200000,17.500000,27.030000,28.390000
20260405_165517_90807_9450,static_strip,gradient_220,gradient,220.0,5,16.200000,17.500000,27.030000,28.390000
20260405_165527_90894_9687,strip_markov,gradient_220,gradient,220.0,1,16.350000,18.310000,27.590000,29.420000
20260405_165537_90968_7514,strip_markov,gradient_220,gradient,220.0,2,16.350000,18.310000,27.590000,29.420000
20260405_165548_91052_5817,strip_markov,gradient_220,gradient,220.0,3,16.350000,18.310000,27.590000,29.420000
20260405_165558_91137_8396,strip_markov,gradient_220,gradient,220.0,4,16.350000,18.310000,27.600000,29.430000
20260405_165608_91275_6222,strip_markov,gradient_220,gradient,220.0,5,16.350000,18.310000,27.600000,29.420000
20260405_165618_91365_9125,strip_markov_dynamic,gradient_220,gradient,220.0,1,21.600000,25.320000,29.360000,40.090000
20260405_165629_91449_3081,strip_markov_dynamic,gradient_220,gradient,220.0,2,19.330000,23.610000,29.580000,36.180000
20260405_165640_91527_1263,strip_markov_dynamic,gradient_220,gradient,220.0,3,20.960000,23.100000,29.370000,40.080000
20260405_165651_91601_9633,strip_markov_dynamic,gradient_220,gradient,220.0,4,19.090000,21.640000,25.270000,35.610000
20260405_165702_91750_2879,strip_markov_dynamic,gradient_220,gradient,220.0,5,18.660000,22.920000,28.540000,37.540000
20260405_165713_91862_5456,static_strip,gradient_230,gradient,230.0,1,16.380000,17.360000,18.570000,18.840000
20260405_165723_91946_6825,static_strip,gradient_230,gradient,230.0,2,16.380000,17.360000,18.570000,18.840000
20260405_165732_92022_1302,static_strip,gradient_230,gradient,230.0,3,16.380000,17.360000,18.570000,18.840000
20260405_165742_92109_7945,static_strip,gradient_230,gradient,230.0,4,16.370000,17.360000,18.570000,18.840000
20260405_165752_92179_4598,static_strip,gradient_230,gradient,230.0,5,16.380000,17.360000,18.570000,18.840000
20260405_165801_92306_9917,strip_markov,gradient_230,gradient,230.0,1,16.580000,17.900000,23.320000,30.710000
20260405_165812_92394_8600,strip_markov,gradient_230,gradient,230.0,2,16.580000,17.900000,23.340000,30.740000
20260405_165822_92465_9509,strip_markov,gradient_230,gradient,230.0,3,16.580000,17.900000,23.310000,30.730000
20260405_165832_92549_6691,strip_markov,gradient_230,gradient,230.0,4,16.580000,17.900000,23.330000,30.730000
20260405_165843_92621_4566,strip_markov,gradient_230,gradient,230.0,5,16.580000,17.900000,23.330000,30.750000
20260405_165853_92708_9620,strip_markov_dynamic,gradient_230,gradient,230.0,1,18.710000,21.760000,29.800000,37.050000
20260405_165904_92844_8738,strip_markov_dynamic,gradient_230,gradient,230.0,2,19.320000,21.640000,25.730000,35.710000
20260405_165915_92917_2534,strip_markov_dynamic,gradient_230,gradient,230.0,3,22.180000,26.070000,29.670000,39.670000
20260405_165926_93000_9579,strip_markov_dynamic,gradient_230,gradient,230.0,4,20.690000,22.580000,29.300000,41.960000
20260405_165937_93085_9712,strip_markov_dynamic,gradient_230,gradient,230.0,5,22.220000,25.260000,29.150000,39.030000
20260405_165948_93172_2872,static_strip,gradient_240,gradient,240.0,1,16.780000,17.740000,18.650000,18.860000
20260405_165958_93259_7081,static_strip,gradient_240,gradient,240.0,2,16.780000,17.740000,18.650000,18.860000
20260405_170008_93402_7171,static_strip,gradient_240,gradient,240.0,3,16.770000,17.740000,18.650000,18.860000
20260405_170018_93472_1737,static_strip,gradient_240,gradient,240.0,4,16.780000,17.740000,18.650000,18.860000
20260405_170028_93559_7354,static_strip,gradient_240,gradient,240.0,5,16.780000,17.740000,18.650000,18.860000
20260405_170038_93647_1452,strip_markov,gradient_240,gradient,240.0,1,17.000000,18.210000,25.680000,36.740000
20260405_170049_93723_3070,strip_markov,gradient_240,gradient,240.0,2,17.000000,18.210000,25.690000,36.700000
20260405_170059_93808_8673,strip_markov,gradient_240,gradient,240.0,3,17.000000,18.210000,25.700000,36.690000
20260405_170110_93948_6837,strip_markov,gradient_240,gradient,240.0,4,17.000000,18.210000,25.680000,36.640000
20260405_170121_94019_9513,strip_markov,gradient_240,gradient,240.0,5,17.000000,18.210000,25.650000,36.660000
20260405_170132_94104_6142,strip_markov_dynamic,gradient_240,gradient,240.0,1,21.210000,23.570000,26.590000,38.100000
20260405_170143_94187_3791,strip_markov_dynamic,gradient_240,gradient,240.0,2,20.870000,24.230000,28.070000,38.970000
20260405_170155_94276_6749,strip_markov_dynamic,gradient_240,gradient,240.0,3,22.300000,25.580000,29.620000,41.970000
20260405_170206_94412_9551,strip_markov_dynamic,gradient_240,gradient,240.0,4,21.120000,24.490000,29.450000,38.440000
20260405_170218_94483_7191,strip_markov_dynamic,gradient_240,gradient,240.0,5,22.460000,26.440000,30.450000,41.930000
