figure_id,x_value,x_label,x_unit,runs_per_setting,valid_runs,reach_rate_90,t90_avg_h,t90_std_h,t90_uA_h,reach_rate_95,t95_avg_h,t95_std_h,t95_uA_h,reach_rate_99,t99_avg_h,t99_std_h,t99_uA_h,fail_reason_counts
16,100.0,UAV Speed,km/h,5,5,1.0,98.56000000001352,0.0,0.0,1.0,107.61600000001815,0.04037325847639336,0.018055470085277026,1.0,225.0419999999403,0.01788854381998205,0.007999999999992725,
16,110.0,UAV Speed,km/h,5,5,1.0,89.76400000000902,0.005477225575054464,0.002449489742784431,1.0,97.14600000001278,0.09633275663038765,0.043081318457098075,1.0,205.39199999995816,0.014832396974177837,0.006633249580704767,
16,120.0,UAV Speed,km/h,5,5,1.0,82.05400000000506,0.005477225575054463,0.0024494897427844308,1.0,87.67400000000795,0.07569676347114097,0.03385262175963883,1.0,188.16199999997383,0.031144823004766547,0.01392838827717145,
16,130.0,UAV Speed,km/h,5,5,1.0,75.8520000000019,0.004472135955001867,0.002000000000001023,1.0,80.43200000000425,0.025884358211102812,0.011575836902796148,1.0,174.27199999998646,0.02774887385099798,0.01240967364597957,
16,140.0,UAV Speed,km/h,5,5,1.0,70.51399999999917,0.005477225575054464,0.002449489742784431,1.0,74.31000000000111,0.05147815070496134,0.023021728866454455,1.0,162.32999999999734,0.03807886552928491,0.017029386365910913,
16,150.0,UAV Speed,km/h,5,5,1.0,65.60199999999665,0.004472135955001867,0.002000000000001023,1.0,68.70399999999825,0.021908902300217855,0.009797958971137725,1.0,151.29800000000736,0.03271085446756251,0.01462873883831449,
16,160.0,UAV Speed,km/h,5,5,1.0,61.551999999996326,0.008366600265339091,0.003741657386773197,1.0,64.14799999999592,0.04147288270667666,0.018547236991000894,1.0,142.20800000001563,0.02863564212652666,0.012806248474854048,
16,170.0,UAV Speed,km/h,5,5,1.0,57.925999999997046,0.005477225575050572,0.002449489742782691,1.0,60.083999999996614,0.005477225575050572,0.002449489742782691,1.0,134.17600000002295,0.016733200530666292,0.007483314773541076,
16,180.0,UAV Speed,km/h,5,5,1.0,54.72999999999767,7.944109290391274e-15,3.552713678800501e-15,1.0,56.76799999999728,0.004472135954998689,0.0019999999999996015,1.0,126.93800000002803,0.008366600265345036,0.0037416573867758555,
16,190.0,UAV Speed,km/h,5,5,1.0,51.75199999999827,0.004472135954998689,0.0019999999999996015,1.0,53.67399999999789,0.005477225575050572,0.002449489742782691,1.0,120.12600000002456,0.015165750888110861,0.006782329983128738,
16,200.0,UAV Speed,km/h,5,5,1.0,48.98799999999882,0.004472135954998689,0.0019999999999996015,1.0,50.807999999998465,0.004472135954998689,0.0019999999999996015,1.0,113.79400000002131,0.016733200530690072,0.007483314773551711,
16,210.0,UAV Speed,km/h,5,5,1.0,46.86199999999924,0.004472135954998689,0.0019999999999996015,1.0,48.591999999998905,0.00447213595499869,0.001999999999999602,1.0,108.91800000001881,0.008366600265345036,0.0037416573867758555,
16,220.0,UAV Speed,km/h,5,5,1.0,44.73999999999967,0.0,0.0,1.0,46.38999999999934,0.0,0.0,1.0,104.04600000001633,0.005477225575054463,0.0024494897427844308,
16,230.0,UAV Speed,km/h,5,5,1.0,42.83000000000005,0.0,0.0,1.0,44.40399999999973,0.005477225575050572,0.002449489742782691,1.0,99.66600000001408,0.011401754250997213,0.005099019513595393,
16,240.0,UAV Speed,km/h,5,5,1.0,40.92000000000043,0.0,0.0,1.0,42.42000000000013,0.0,0.0,1.0,95.27000000001183,0.007071067811869092,0.0031622776601699966,
16,250.0,UAV Speed,km/h,5,5,1.0,39.21800000000077,0.004472135954998689,0.0019999999999996015,1.0,40.66400000000048,0.005477225575050572,0.002449489742782691,1.0,91.36600000000985,0.008944271910003734,0.004000000000002046,
16,260.0,UAV Speed,km/h,5,5,1.0,37.732000000001065,0.00447213595499869,0.001999999999999602,1.0,39.12200000000079,0.00447213595499869,0.001999999999999602,1.0,87.9520000000081,0.008366600265345036,0.0037416573867758555,
16,270.0,UAV Speed,km/h,5,5,1.0,36.460000000001315,0.0,0.0,1.0,37.80000000000105,0.0,0.0,1.0,85.01800000000658,0.004472135955001867,0.002000000000001023,
16,280.0,UAV Speed,km/h,5,5,1.0,35.19000000000157,0.0,0.0,1.0,36.48000000000131,0.0,0.0,1.0,82.09400000000508,0.005477225575054463,0.0024494897427844308,
16,290.0,UAV Speed,km/h,5,5,1.0,33.92200000000182,0.004472135954998689,0.0019999999999996015,1.0,35.160000000001574,0.0,0.0,1.0,79.16000000000359,0.0,0.0,
16,300.0,UAV Speed,km/h,5,5,1.0,32.65000000000207,0.0,0.0,1.0,33.850000000001835,0.0,0.0,1.0,76.23200000000209,0.004472135955001867,0.002000000000001023,
