run_id,figure_id,x_value,x_label,x_unit,repeat_id,uav_speed_km_h,scan_radius_km,turn_radius_km,target_speed_km_h,t90_h,t95_h,t99_h,status,fail_reason,steps,wall_time_s,final_remaining
20260406_031845_18_000_01,18,10.0,Target Speed,km/h,1,150.0,10.0,10.0,10.0,64.62999999999616,67.08999999999742,153.3700000000055,success_99,,15337,32.91995129600036,99787
20260406_031845_18_000_02,18,10.0,Target Speed,km/h,2,150.0,10.0,10.0,10.0,64.63999999999616,67.09999999999742,153.3700000000055,success_99,,15337,32.23010853699998,99996
20260406_031845_18_000_03,18,10.0,Target Speed,km/h,3,150.0,10.0,10.0,10.0,64.63999999999616,67.09999999999742,153.39000000000547,success_99,,15339,30.8129326140006,99840
20260406_031845_18_000_04,18,10.0,Target Speed,km/h,4,150.0,10.0,10.0,10.0,64.63999999999616,67.08999999999742,153.40000000000546,success_99,,15340,28.28615292899849,99827
20260406_031845_18_000_05,18,10.0,Target Speed,km/h,5,150.0,10.0,10.0,10.0,64.63999999999616,67.08999999999742,153.40000000000546,success_99,,15340,29.45139230299901,99984
20260406_031845_18_001_01,18,15.0,Target Speed,km/h,1,150.0,10.0,10.0,15.0,64.83999999999627,67.31999999999753,152.79000000000602,success_99,,15279,29.98543565,99843
20260406_031845_18_001_02,18,15.0,Target Speed,km/h,2,150.0,10.0,10.0,15.0,64.84999999999627,67.31999999999753,152.78000000000603,success_99,,15278,30.993995554999856,99972
20260406_031845_18_001_03,18,15.0,Target Speed,km/h,3,150.0,10.0,10.0,15.0,64.83999999999627,67.31999999999753,152.78000000000603,success_99,,15278,30.810938974000237,99978
20260406_031845_18_001_04,18,15.0,Target Speed,km/h,4,150.0,10.0,10.0,15.0,64.83999999999627,67.31999999999753,152.76000000000604,success_99,,15276,34.02323908899962,99882
20260406_031845_18_001_05,18,15.0,Target Speed,km/h,5,150.0,10.0,10.0,15.0,64.83999999999627,67.32999999999754,152.79000000000602,success_99,,15279,29.664386262000335,99739
20260406_031845_18_002_01,18,20.0,Target Speed,km/h,1,150.0,10.0,10.0,20.0,65.18999999999645,67.55999999999766,152.40000000000637,success_99,,15240,32.134982063998905,99843
20260406_031845_18_002_02,18,20.0,Target Speed,km/h,2,150.0,10.0,10.0,20.0,65.17999999999644,67.54999999999765,152.39000000000638,success_99,,15239,30.19606858899897,99969
20260406_031845_18_002_03,18,20.0,Target Speed,km/h,3,150.0,10.0,10.0,20.0,65.17999999999644,67.55999999999766,152.39000000000638,success_99,,15239,31.825546567000856,99958
20260406_031845_18_002_04,18,20.0,Target Speed,km/h,4,150.0,10.0,10.0,20.0,65.17999999999644,67.55999999999766,152.39000000000638,success_99,,15239,33.65712592700038,99975
20260406_031845_18_002_05,18,20.0,Target Speed,km/h,5,150.0,10.0,10.0,20.0,65.18999999999645,67.55999999999766,152.43000000000634,success_99,,15243,33.01955926499977,99782
20260406_031845_18_003_01,18,25.0,Target Speed,km/h,1,150.0,10.0,10.0,25.0,65.38999999999655,67.79999999999778,152.06000000000668,success_99,,15206,31.63452390400016,100000
20260406_031845_18_003_02,18,25.0,Target Speed,km/h,2,150.0,10.0,10.0,25.0,65.38999999999655,67.80999999999779,152.0500000000067,success_99,,15205,29.764463289999185,99956
20260406_031845_18_003_03,18,25.0,Target Speed,km/h,3,150.0,10.0,10.0,25.0,65.37999999999654,67.79999999999778,152.0300000000067,success_99,,15203,33.113371661998826,99970
20260406_031845_18_003_04,18,25.0,Target Speed,km/h,4,150.0,10.0,10.0,25.0,65.37999999999654,67.79999999999778,152.06000000000668,success_99,,15206,32.17861874600021,99839
20260406_031845_18_003_05,18,25.0,Target Speed,km/h,5,150.0,10.0,10.0,25.0,65.38999999999655,67.79999999999778,152.0300000000067,success_99,,15203,31.969147095000153,99984
20260406_031845_18_004_01,18,30.0,Target Speed,km/h,1,150.0,10.0,10.0,30.0,65.59999999999665,68.69999999999824,151.31000000000736,success_99,,15131,30.577445095999792,99945
20260406_031845_18_004_02,18,30.0,Target Speed,km/h,2,150.0,10.0,10.0,30.0,65.60999999999666,68.72999999999826,151.2800000000074,success_99,,15128,30.048392283000794,99969
20260406_031845_18_004_03,18,30.0,Target Speed,km/h,3,150.0,10.0,10.0,30.0,65.59999999999665,68.71999999999825,151.29000000000738,success_99,,15129,31.68247802699989,99970
20260406_031845_18_004_04,18,30.0,Target Speed,km/h,4,150.0,10.0,10.0,30.0,65.59999999999665,68.69999999999824,151.2700000000074,success_99,,15127,31.662836891999177,99934
20260406_031845_18_004_05,18,30.0,Target Speed,km/h,5,150.0,10.0,10.0,30.0,65.59999999999665,68.68999999999824,151.2600000000074,success_99,,15126,32.89363454799968,99930
20260406_031845_18_005_01,18,35.0,Target Speed,km/h,1,150.0,10.0,10.0,35.0,65.81999999999677,71.71999999999979,150.75000000000787,success_99,,15075,33.307489998000165,99948
20260406_031845_18_005_02,18,35.0,Target Speed,km/h,2,150.0,10.0,10.0,35.0,65.81999999999677,71.65999999999976,150.68000000000794,success_99,,15068,34.96873012300057,99925
20260406_031845_18_005_03,18,35.0,Target Speed,km/h,3,150.0,10.0,10.0,35.0,65.81999999999677,71.68999999999977,150.7100000000079,success_99,,15071,34.660882696000044,99931
20260406_031845_18_005_04,18,35.0,Target Speed,km/h,4,150.0,10.0,10.0,35.0,65.81999999999677,71.70999999999978,150.76000000000786,success_99,,15076,35.16403527199873,99999
20260406_031845_18_005_05,18,35.0,Target Speed,km/h,5,150.0,10.0,10.0,35.0,65.81999999999677,71.67999999999977,150.76000000000786,success_99,,15076,34.06461569599924,99975
20260406_031845_18_006_01,18,40.0,Target Speed,km/h,1,150.0,10.0,10.0,40.0,66.04999999999688,74.12000000000101,150.36000000000823,success_99,,15036,33.01070271000026,99894
20260406_031845_18_006_02,18,40.0,Target Speed,km/h,2,150.0,10.0,10.0,40.0,66.03999999999688,74.07000000000099,150.34000000000825,success_99,,15034,31.476342211000883,99911
20260406_031845_18_006_03,18,40.0,Target Speed,km/h,3,150.0,10.0,10.0,40.0,66.04999999999688,74.15000000000103,150.35000000000824,success_99,,15035,34.31910873400011,99968
20260406_031845_18_006_04,18,40.0,Target Speed,km/h,4,150.0,10.0,10.0,40.0,66.04999999999688,74.090000000001,150.33000000000825,success_99,,15033,32.70900650499971,99923
20260406_031845_18_006_05,18,40.0,Target Speed,km/h,5,150.0,10.0,10.0,40.0,66.04999999999688,74.15000000000103,150.37000000000822,success_99,,15037,32.461634044000675,99900
20260406_031845_18_007_01,18,45.0,Target Speed,km/h,1,150.0,10.0,10.0,45.0,66.279999999997,76.19000000000207,150.10000000000846,success_99,,15010,31.455612109999493,99922
20260406_031845_18_007_02,18,45.0,Target Speed,km/h,2,150.0,10.0,10.0,45.0,66.279999999997,76.18000000000207,150.09000000000847,success_99,,15009,35.22271466799975,99956
20260406_031845_18_007_03,18,45.0,Target Speed,km/h,3,150.0,10.0,10.0,45.0,66.28999999999701,76.19000000000207,150.13000000000844,success_99,,15013,34.411102676000155,99991
20260406_031845_18_007_04,18,45.0,Target Speed,km/h,4,150.0,10.0,10.0,45.0,66.279999999997,76.21000000000208,150.13000000000844,success_99,,15013,33.03960926500076,99978
20260406_031845_18_007_05,18,45.0,Target Speed,km/h,5,150.0,10.0,10.0,45.0,66.279999999997,76.2500000000021,150.09000000000847,success_99,,15009,32.53136046399959,99890
20260406_031845_18_008_01,18,50.0,Target Speed,km/h,1,150.0,10.0,10.0,50.0,66.52999999999713,78.1900000000031,149.9500000000086,success_99,,14995,33.05883482999889,99963
20260406_031845_18_008_02,18,50.0,Target Speed,km/h,2,150.0,10.0,10.0,50.0,66.52999999999713,78.2100000000031,149.9400000000086,success_99,,14994,30.004923676000544,99893
20260406_031845_18_008_03,18,50.0,Target Speed,km/h,3,150.0,10.0,10.0,50.0,66.52999999999713,78.25000000000313,149.98000000000857,success_99,,14998,36.245455558000685,99882
20260406_031845_18_008_04,18,50.0,Target Speed,km/h,4,150.0,10.0,10.0,50.0,66.52999999999713,78.24000000000312,149.9400000000086,success_99,,14994,33.222130697000466,99994
20260406_031845_18_008_05,18,50.0,Target Speed,km/h,5,150.0,10.0,10.0,50.0,66.51999999999713,78.2100000000031,149.91000000000864,success_99,,14991,35.65191018800033,99959
