strategy,partition_id,partition_mode,x_split_km,valid_runs,reach_rate_90,t90_avg_h,t90_std_h,t90_uA_h,reach_rate_95,t95_avg_h,t95_std_h,t95_uA_h,reach_rate_99,t99_avg_h,t99_std_h,t99_uA_h
static_strip,gradient_070,gradient,70.0,1,1.000000,19.930000,0.000000,0.000000,1.000000,21.190000,0.000000,0.000000,1.000000,22.190000,0.000000,0.000000
static_strip,gradient_080,gradient,80.0,1,1.000000,18.940000,0.000000,0.000000,1.000000,20.770000,0.000000,0.000000,1.000000,22.160000,0.000000,0.000000
strip_markov,gradient_070,gradient,70.0,1,1.000000,20.100000,0.000000,0.000000,1.000000,21.360000,0.000000,0.000000,1.000000,22.400000,0.000000,0.000000
strip_markov,gradient_080,gradient,80.0,1,1.000000,19.170000,0.000000,0.000000,1.000000,21.080000,0.000000,0.000000,1.000000,22.980000,0.000000,0.000000
